config_id,model,with_debate,initiator,num_turns,accuracy,avg_length,avg_time,num_claims
no_debate,baseline,False,,0,0.6083333333333333,3.375,0.6700732111930847,120
agent1_2turns,baseline,True,agent1,2,0.625,15.222916666666666,3.5195061107476553,120
agent1_4turns,baseline,True,agent1,4,0.6666666666666666,15.782291666666667,2.5086986266076563,120
agent2_4turns,baseline,True,agent2,4,0.625,16.13125,2.4248325891792772,120
agent2_2turns,baseline,True,agent2,2,0.6583333333333333,15.575,6.624796984593074,120
agent1_6turns,baseline,True,agent1,6,0.6166666666666667,15.783333333333337,1.8933392390608794,120
agent2_1turns,baseline,True,agent2,1,0.5916666666666667,15.225,3.4828186511993406,120
agent1_1turns,baseline,True,agent1,1,0.6416666666666667,14.654166666666667,3.9518890033165612,120
agent2_6turns,baseline,True,agent2,6,0.6333333333333333,16.66111111111111,2.0206120201283033,120
no_debate,fine_tuned,False,,0,0.575,3.575,0.7540354053179423,120
agent1_2turns,fine_tuned,True,agent1,2,0.5916666666666667,15.625,1.7336562643448512,120
agent1_4turns,fine_tuned,True,agent1,4,0.65,15.777083333333334,3.359784560650587,120
agent2_4turns,fine_tuned,True,agent2,4,0.6166666666666667,15.584375,1.799553601195415,120
agent2_2turns,fine_tuned,True,agent2,2,0.6166666666666667,16.033333333333335,1.7684530605872473,120
agent1_6turns,fine_tuned,True,agent1,6,0.6416666666666667,15.941666666666665,2.253508508205413,120
agent2_1turns,fine_tuned,True,agent2,1,0.6166666666666667,15.520833333333334,1.7052078604698182,120
agent1_1turns,fine_tuned,True,agent1,1,0.65,14.758333333333333,1.6484199027220408,120
agent2_6turns,fine_tuned,True,agent2,6,0.6083333333333333,16.342361111111114,3.135726354353958,120
